PERIOD,YEAR,SEASON,SITE,ADULT COUNT
3,1981,FALL,1,7
3,1981,FALL,2,4
3,1981,FALL,3,3
3,1981,FALL,4,6
3,1981,FALL,5,25
3,1981,FALL,6,13
4,1982,SPRING,1,13
4,1982,SPRING,2,1
4,1982,SPRING,3,4
4,1982,SPRING,4,5
4,1982,SPRING,5,26
4,1982,SPRING,6,13
5,1982,FALL,1,16
5,1982,FALL,2,5
5,1982,FALL,3,2
5,1982,FALL,4,4
5,1982,FALL,5,22
5,1982,FALL,6,17
6,1983,SPRING,1,14
6,1983,SPRING,2,5
6,1983,SPRING,3,3
6,1983,SPRING,4,16
6,1983,SPRING,5,30
6,1983,SPRING,6,31
7,1983,FALL,1,7
7,1983,FALL,2,9
7,1983,FALL,3,8
7,1983,FALL,4,25
7,1983,FALL,5,23
8,1984,SPRING,1,12
8,1984,SPRING,5,28
9,1984,FALL,1,3
9,1984,FALL,2,4
9,1984,FALL,3,4
9,1984,FALL,4,40
9,1984,FALL,5,33
9,1984,FALL,6,11
10,1985,SPRING,1,15
10,1985,SPRING,2,21
10,1985,SPRING,3,8
10,1985,SPRING,4,62
10,1985,SPRING,5,35
10,1985,SPRING,6,22
11,1985,FALL,1,16
11,1985,FALL,2,23
11,1985,FALL,3,20
11,1985,FALL,4,53
11,1985,FALL,5,43
11,1985,FALL,6,15
12,1986,SPRING,1,16
12,1986,SPRING,2,26
12,1986,SPRING,3,32
12,1986,SPRING,4,34
12,1986,SPRING,5,47
12,1986,SPRING,6,37
13,1986,FALL,1,28
13,1986,FALL,2,15
13,1986,FALL,3,16
13,1986,FALL,4,43
13,1986,FALL,5,29
13,1986,FALL,6,19
14,1987,SPRING,1,20
14,1987,SPRING,2,19
14,1987,SPRING,3,15
14,1987,SPRING,4,62
14,1987,SPRING,5,40
14,1987,SPRING,6,23
15,1987,FALL,1,12
15,1987,FALL,2,33
15,1987,FALL,3,12
15,1987,FALL,4,86
15,1987,FALL,5,26
15,1987,FALL,6,28
16,1988,SPRING,1,31
16,1988,SPRING,2,9
16,1988,SPRING,3,16
16,1988,SPRING,4,49
16,1988,SPRING,5,50
16,1988,SPRING,6,21
17,1988,FALL,1,9
17,1988,FALL,2,6
17,1988,FALL,3,7
17,1988,FALL,4,64
17,1988,FALL,5,45
17,1988,FALL,6,22
18,1989,SPRING,1,27
18,1989,SPRING,2,9
18,1989,SPRING,3,6
18,1989,SPRING,4,28
18,1989,SPRING,5,34
18,1989,SPRING,6,39
19,1989,FALL,1,20
19,1989,FALL,2,14
19,1989,FALL,3,35
19,1989,FALL,4,74
19,1989,FALL,5,64
19,1989,FALL,6,34
21,1990,FALL,1,27
21,1990,FALL,2,10
21,1990,FALL,3,14
21,1990,FALL,4,36
21,1990,FALL,5,77
21,1990,FALL,6,23
22,1991,SPRING,1,9
22,1991,SPRING,2,11
22,1991,SPRING,3,8
22,1991,SPRING,4,29
22,1991,SPRING,5,44
22,1991,SPRING,6,9
23,1991,FALL,1,25
23,1991,FALL,2,4
23,1991,FALL,3,9
23,1991,FALL,4,40
23,1991,FALL,5,53
23,1991,FALL,6,24
24,1992,SPRING,1,17
24,1992,SPRING,2,4
24,1992,SPRING,3,5
24,1992,SPRING,4,27
24,1992,SPRING,5,27
24,1992,SPRING,6,10
25,1992,FALL,1,5
25,1992,FALL,2,3
25,1992,FALL,3,4
25,1992,FALL,4,29
25,1992,FALL,5,44
25,1992,FALL,6,22
26,1993,SPRING,4,50
26,1993,SPRING,5,31
26,1993,SPRING,6,6
27,1993,FALL,1,51
27,1993,FALL,2,10
27,1993,FALL,3,15
27,1993,FALL,4,22
27,1993,FALL,5,39
27,1993,FALL,6,32
28,1994,SPRING,1,55
28,1994,SPRING,2,15
28,1994,SPRING,3,36
28,1994,SPRING,4,53
28,1994,SPRING,5,91
28,1994,SPRING,6,35
29,1994,FALL,1,34
