"","Species","SITE","mean","sd"
"1","MesFra",1,2.84751686170569,1.07042578754687
"2","MesFra",2,4.97815917607105,1.45909080573317
"3","MesFra",3,3.84692997394661,2.16221262861706
"4","MesFra",4,5.79208387506345,0.361688133919225
"5","MesFra",5,5.20712143869832,0.430443366815399
"6","MesFra",6,5.34806385180694,0.634564305509324
"7","StrPur",1,7.29302880372056,1.02849869579746
"8","StrPur",2,6.26806855675666,1.85223684022699
"9","StrPur",3,5.53223646990185,2.73949086631926
"10","StrPur",4,6.37143645867275,0.487728876148615
"11","StrPur",5,6.30423630342895,0.559909524344244
"12","StrPur",6,7.67819563704144,0.812523934288987
"13","PycHel",1,0.0319914083335359,0.146566685883136
"14","PycHel",2,0.105004166782631,0.354666366286109
"15","PycHel",3,0.0818576421811908,0.273924534940858
"16","PycHel",4,0.710760574836365,0.957460183474059
"17","PycHel",5,0.572494120303883,0.832938828298807
"18","PycHel",6,0.077653332805875,0.294736563354102
"19","MacJuv",1,1.63248289216803,1.69991807929454
"20","MacJuv",2,2.95143193204118,2.31840879996115
"21","MacJuv",3,3.0255418662777,2.13945754999226
"22","MacJuv",4,2.77038731559137,1.73088225186961
"23","MacJuv",5,3.18611825529974,2.03685660667843
"24","MacJuv",6,2.16662242401332,1.54815318660082
"25","PteCal",1,2.68618375748592,1.73664520927765
"26","PteCal",2,2.70229089315978,2.00167908514561
"27","PteCal",3,3.45095438256166,2.10477784980386
"28","PteCal",4,2.22347550216754,1.18920977708987
"29","PteCal",5,2.49456838913003,1.34942433351874
"30","PteCal",6,1.17507835564779,1.03982886917988
"31","MacPyr",1,1.95889932653927,1.68229984341036
"32","MacPyr",2,3.15141451965388,1.59211484101226
"33","MacPyr",3,2.96171307126322,1.4673655598707
"34","MacPyr",4,3.31320760605701,0.697266387413689
"35","MacPyr",5,3.87866958085135,0.744970103079386
"36","MacPyr",6,2.76785041567413,1.30830217142884
"37","SemPul",1,4.11254579385018,1.07906652274239
"38","SemPul",2,3.88061899839008,0.76366461781957
"39","SemPul",3,3.94316403289154,0.872901816484127
"40","SemPul",4,4.97262634387114,0.795841826132298
"41","SemPul",5,5.26590760918389,0.722250444314362
"42","SemPul",6,4.51075318108829,1.21775338203716
