time,series,juv,adult
1,1,-1.04979857771413,-0.197155344649374
2,1,1.13968401016031,-0.513687138536336
3,1,0.892856319076813,0.959150956980874
4,1,0.268149338927929,0.719195719066381
5,1,-0.882675230126054,0.55829502509895
6,1,-0.411580972359574,-0.580450655635035
7,1,1.52188905801251,1.54820751382266
8,1,-1.28534570659737,1.14527469937591
9,1,-0.647128101242814,0.593054166306864
10,1,-1.04979857771413,0.15554899795196
11,1,-1.28534570659737,-0.113675863621332
12,1,-0.244457624771499,-2.07495487016591
13,1,-0.00891049588825903,1.14527469937591
14,1,-0.647128101242814,0.704432525108286
15,1,-0.480004753654739,0.62642256324334
16,1,-0.244457624771499,-0.451873776521963
17,1,0.080640366374898,0.126279374293161
18,1,-0.350373814296942,0.0317520670695359
19,1,0.18192760153217,-0.154371675325503
21,1,-1.04979857771413,-2.07495487016591
22,1,-1.28534570659737,-2.07495487016591
23,1,-1.28534570659737,-2.07495487016591
24,1,-1.28534570659737,-2.07495487016591
25,1,-1.28534570659737,-1.73675695726528
27,1,-1.28534570659737,-1.31067797695575
28,1,-1.28534570659737,-2.07495487016591
29,1,-1.28534570659737,-2.07495487016591
30,1,-1.28534570659737,-2.07495487016591
31,1,-1.28534570659737,-2.07495487016591
32,1,-1.28534570659737,-2.07495487016591
33,1,-1.28534570659737,-2.07495487016591
34,1,-1.28534570659737,-2.07495487016591
35,1,-1.28534570659737,-2.07495487016591
36,1,-1.28534570659737,-2.07495487016591
37,1,-0.753044290768257,-0.513687138536336
38,1,-0.0773342771834238,-0.732524826140627
39,1,-0.882675230126054,-1.15860380645016
40,1,-1.28534570659737,-2.07495487016591
41,1,-1.28534570659737,-2.07495487016591
42,1,-1.04979857771413,-2.07495487016591
43,1,-1.28534570659737,-2.07495487016591
44,1,-1.28534570659737,-2.07495487016591
45,1,-1.28534570659737,-2.07495487016591
46,1,-0.114826685413702,1.01229623388198
47,1,-0.00891049588825903,0.815810883909706
49,1,0.325336199287891,0.288224650342709
50,1,1.53561246860567,-0.820405893549528
51,1,1.25300069084181,0.55829502509895
52,1,1.15728931804176,0.211176185625796
53,1,0.454967138645688,0.183826237575128
54,1,0.629307109466296,-0.918648568535666
55,1,0.360554903247701,-1.31067797695575
57,1,-1.28534570659737,-1.15860380645016
61,1,0.536159141595623,0.484104044107036
63,1,-0.557577238979657,-0.0748735798212954
64,1,-0.114826685413702,-0.289928500472415
65,1,-0.557577238979657,-0.653026730636419
67,1,-0.0773342771834238,-2.07495487016591
68,1,-0.882675230126054,-1.73675695726528
69,1,-0.0773342771834238,-0.340495417720542
70,1,-1.28534570659737,-0.820405893549528
71,1,-0.647128101242814,-1.15860380645016
72,1,0.325336199287891,0.183826237575128
1,2,-0.0421155732236146,-0.394326913239996
2,2,1.53107392443137,-1.03002692733709
3,2,1.43464806240893,0.914053558895844
4,2,1.04789449117878,0.789329336440921
5,2,0.95132323290992,0.936907007196916
6,2,1.07349029187056,0.464477287193792
7,2,2.02621696605288,0.237657733094583
9,2,-1.28534570659737,0.288224650342709
10,2,-1.28534570659737,-0.197155344649374
11,2,-1.28534570659737,-0.242252742734404
12,2,1.15293775687428,-0.289928500472415
13,2,0.871982311822044,1.21271332673693
14,2,-0.0773342771834238,-0.394326913239996
15,2,-1.28534570659737,-0.820405893549528
16,2,-0.350373814296942,-2.07495487016591
17,2,-1.28534570659737,-1.73675695726528
18,2,-1.28534570659737,-2.07495487016591
19,2,-1.28534570659737,-2.07495487016591
21,2,-1.28534570659737,-2.07495487016591
22,2,0.0522966621743731,-2.07495487016591
23,2,-1.28534570659737,-2.07495487016591
24,2,-1.28534570659737,-2.07495487016591
25,2,-1.28534570659737,-2.07495487016591
27,2,0.425169289256568,0.3124031166882
28,2,1.75356588144431,0.593054166306864
29,2,-0.882675230126054,0.719195719066381
30,2,1.07349029187056,-0.0748735798212954
31,2,0.360554903247701,0.7479605931282
32,2,1.21892984479253,-0.242252742734404
33,2,0.660716418139809,0.789329336440921
34,2,0.796430457054371,0.719195719066381
35,2,-0.350373814296942,0.288224650342709
36,2,0.325336199287891,-0.340495417720542
37,2,0.639966687428357,0.0644660122787884
38,2,-0.154906762508342,0.55829502509895
39,2,-1.28534570659737,-0.0748735798212954
41,2,-1.28534570659737,-2.07495487016591
42,2,2.05280013245317,0.33590040808072
43,2,-0.411580972359574,1.8380922225014
44,2,-0.244457624771499,0.936907007196916
45,2,0.325336199287891,0.55829502509895
46,2,0.660716418139809,2.36292387395087
47,2,0.0522966621743731,2.18643127775304
50,2,2.03871058089586,0.902387652876827
51,2,-0.882675230126054,0.484104044107036
52,2,2.69163607815298,-0.197155344649374
53,2,2.38238817636412,1.74509396920471
54,2,1.06338689461112,1.13644817591407
55,2,1.92917011979224,0.263324333079335
57,2,0.680750496528519,1.5695958314404
60,2,0.788305419720364,0.959150956980874
61,2,0.343212400482484,0.55829502509895
63,2,-0.480004753654739,0.775766457387845
65,2,0.639966687428357,0.211176185625796
67,2,-1.28534570659737,-0.154371675325503
68,2,0.510335748070559,-0.00229750481991066
69,2,0.268149338927929,0.211176185625796
70,2,-0.295005204872071,-0.00229750481991066
71,2,-0.882675230126054,-0.03779642317925
72,2,2.18205975144069,0.841477483894459
1,3,0.37739465332077,0.211176185625796
2,3,1.2305102421992,-0.289928500472415
3,3,0.850330214370493,0.15554899795196
4,3,1.03733182383493,0.540356727635874
5,3,1.0531046669056,0.7479605931282
6,3,0.618448275560071,0.211176185625796
7,3,1.89852569694287,0.0644660122787884
9,3,-1.28534570659737,0.464477287193792
10,3,0.780065129792086,-0.289928500472415
11,3,0.607382594331199,-0.340495417720542
