variable,MSE,MSE_SE,MAE,MAE_SE,correlation,count,covars,tau_,regularization
MacJuv,0.6895986228604121,0.23890084706551584,0.626797893238065,0.12180374047884066,0.8128561989715781,21,String[],0.2,0.0
MacPyr,1.8845293966175498,0.49597111322705983,1.0858759279039123,0.18780346985830268,0.377555183329955,21,String[],0.2,0.0
MacJuv,38.751037722283286,5.706758196613125,5.663214028720956,0.5778860003141387,-0.3968473865473993,21,"[""StrPur""]",0.05,0.0
MacPyr,11.11598128240221,2.248816136834471,2.954583721496711,0.34542845243761117,-0.6151365855047844,21,"[""StrPur""]",0.05,0.0
MacJuv,39.899094336331416,7.000232562598197,5.678709769273608,0.618520399529713,-0.36783761944939813,21,"[""PycHel""]",0.05,0.0
MacPyr,10.746568264430035,2.068798515570956,2.8607903757184525,0.35794180327440867,-0.6444822800820442,21,"[""PycHel""]",0.05,0.0
MacJuv,3.077739909476156,1.4213031078349032,1.1647453195453437,0.2933520282930878,0.3580522896878198,21,"[""StrPur"", ""PycHel""]",0.05,0.0
MacPyr,3.260844164412005,0.8237771704018576,1.4942581521860492,0.22671973216259086,0.35253693715673196,21,"[""StrPur"", ""PycHel""]",0.05,0.0
MacJuv,1.4681447776486096,0.4156189536471399,0.9525331533958127,0.16745527303289665,0.6616978125284362,21,String[],0.1,0.0
MacPyr,10.159715310491178,2.9482442158127276,2.6206706339397066,0.40569697675095123,-0.6453675387067878,21,String[],0.1,0.0
MacJuv,1.2359903201267604,0.32877233797566724,0.892656333744888,0.1481814748799417,0.5677624722780151,21,"[""StrPur""]",0.1,0.0
MacPyr,1.6989612973224557,0.47315420941477243,1.0512419923767296,0.17231534620953806,0.4717413520956351,21,"[""StrPur""]",0.1,0.0
MacJuv,7.728922085949624,2.276555135435809,2.1708555196906625,0.3883496104400136,0.3866561895694665,21,"[""PycHel""]",0.1,0.0
MacPyr,2.2017774181111442,0.5876272093938671,1.278975417910564,0.16822593416171636,0.5162490046817909,21,"[""PycHel""]",0.1,0.0
MacJuv,2.731592999949879,1.568588481654052,1.109850983685029,0.2738451929433172,0.4042880471154383,21,"[""StrPur"", ""PycHel""]",0.1,0.0
MacPyr,2.953226353919901,0.9467366764302584,1.3076069567270545,0.2493381640101364,0.4335097923579579,21,"[""StrPur"", ""PycHel""]",0.1,0.0
MacJuv,0.6895986228604121,0.23890084706551584,0.626797893238065,0.12180374047884066,0.8128561989715781,21,String[],0.2,0.0
MacPyr,1.8845293966175498,0.49597111322705983,1.0858759279039123,0.18780346985830268,0.377555183329955,21,String[],0.2,0.0
MacJuv,1.5859652843582717,0.41533506730673947,1.0762492300571767,0.14622805462010452,0.5225721286082471,21,"[""StrPur""]",0.2,0.0
MacPyr,1.698973693080892,0.5716792278755651,0.9393153591730803,0.20207181261898446,0.5060072443035152,21,"[""StrPur""]",0.2,0.0
MacJuv,6.2242172934474995,2.4493464447397115,1.7853095946482949,0.3896721022028803,0.25908987019735324,21,"[""PycHel""]",0.2,0.0
MacPyr,2.356630170329425,0.473155307891046,1.348443624741194,0.16406248218655223,0.5291147288402244,21,"[""PycHel""]",0.2,0.0
MacJuv,5.0344406891973605,1.1235488775820812,1.983558834464984,0.23451386306711958,0.28874032372218394,21,"[""StrPur"", ""PycHel""]",0.2,0.0
MacPyr,5.67141682974884,1.6896079089889589,1.8613717854981755,0.3321680226858221,0.28879504007029916,21,"[""StrPur"", ""PycHel""]",0.2,0.0
MacJuv,2.3037100241490323,0.6093744578152079,1.2859500128200108,0.18028346966336742,0.5176255388201284,21,String[],0.5,0.0
MacPyr,7.775020744563782,4.227689655757583,1.7744800458178456,0.48094912992738004,0.029906414930060438,21,String[],0.5,0.0
MacJuv,5.19089012729677,2.257874788113872,1.573718973029741,0.3683950814833841,-0.33200166030229206,21,"[""StrPur""]",0.5,0.0
MacPyr,3.2394736454453446,1.7615472976793873,1.2453496793256336,0.29056650027565867,0.22269604957342629,21,"[""StrPur""]",0.5,0.0
MacJuv,4.165311100815294,1.3604121270459553,1.5443014476776287,0.2983658944581362,0.27548396816526294,21,"[""PycHel""]",0.5,0.0
MacPyr,6.009538758787816,3.2481291950008746,1.692681255298209,0.396507813715562,0.14088572720583514,21,"[""PycHel""]",0.5,0.0
MacJuv,2.5295681295477155,0.61191425370992,1.3848453318514624,0.17489590281034736,0.45932985237219986,21,"[""StrPur"", ""PycHel""]",0.5,0.0
MacPyr,5.26618073834977,1.6742134717198627,1.7823686898717048,0.32321375216060905,0.10655281522327574,21,"[""StrPur"", ""PycHel""]",0.5,0.0
MacJuv,0.6895986228604121,0.23890084706551584,0.626797893238065,0.12180374047884066,0.8128561989715781,21,String[],0.2,0.0
MacPyr,1.8845293966175498,0.49597111322705983,1.0858759279039123,0.18780346985830268,0.377555183329955,21,String[],0.2,0.0
MacJuv,38.495535348597144,6.299740583318696,5.563536916944413,0.6141087982757542,-0.42775126196979896,21,"[""StrPur""]",0.05,10.0
MacPyr,10.708409929169017,2.20087550036845,2.8595796641477667,0.35575371210723605,-0.6544806822019674,21,"[""StrPur""]",0.05,10.0
MacJuv,37.08399951732547,6.533393520515824,5.482095799678059,0.5929007151487361,-0.3499827111866652,21,"[""PycHel""]",0.05,10.0
MacPyr,10.152166315675,2.1467549554955077,2.717067922176677,0.3721362802760243,-0.6314156174458859,21,"[""PycHel""]",0.05,10.0
MacJuv,1.6766887871966785,0.688308827815068,0.9542609781360395,0.19571340945417204,0.5618935278903531,21,"[""StrPur"", ""PycHel""]",0.05,10.0
MacPyr,1.6476129003765196,0.5543212680854298,1.0091637294672988,0.1773698773050503,0.5644413828294305,21,"[""StrPur"", ""PycHel""]",0.05,10.0
MacJuv,1.0580462803785324,0.21138548391782597,0.9229834558229657,0.10152532212596706,0.7081719169324047,21,String[],0.1,10.0
MacPyr,3.387479989650444,1.7432645000229745,1.3085181745436667,0.28941839752677734,0.11472533968144209,21,String[],0.1,10.0
MacJuv,1.7461289902505237,0.4594127142784844,1.1133672310623741,0.1591449652120711,0.5197607637392496,21,"[""StrPur""]",0.1,10.0
MacPyr,1.6259427371434287,0.4659911150050045,0.9878669736734421,0.18028610310679852,0.5896580204693169,21,"[""StrPur""]",0.1,10.0
MacJuv,2.1557342032583655,0.55511640295576,1.197526127896012,0.18995596545841234,0.49988628462827106,21,"[""PycHel""]",0.1,10.0
MacPyr,2.5501853999390787,0.9299446363414122,1.3004607536232613,0.20724227708465984,0.4522955116452328,21,"[""PycHel""]",0.1,10.0
MacJuv,2.30797876782933,0.7869527639292474,1.2368555630231073,0.19725200683999686,0.40684818372605347,21,"[""StrPur"", ""PycHel""]",0.1,10.0
MacPyr,5.677566877501297,1.728926739363582,1.9081970324522326,0.3190886211416658,0.26446989091150586,21,"[""StrPur"", ""PycHel""]",0.1,10.0
MacJuv,0.6895986228604121,0.23890084706551584,0.626797893238065,0.12180374047884066,0.8128561989715781,21,String[],0.2,0.0
MacPyr,1.8845293966175498,0.49597111322705983,1.0858759279039123,0.18780346985830268,0.377555183329955,21,String[],0.2,0.0
MacJuv,1.9011069466429236,0.45364255273277443,1.1860502728180207,0.15722463181563215,0.4031656390530574,21,"[""StrPur""]",0.2,10.0
MacPyr,2.373150219151261,0.6656979632165693,1.2324958588137196,0.20665238652847584,0.28156336029579826,21,"[""StrPur""]",0.2,10.0
MacJuv,1.1372443192995765,0.26063234840869787,0.9037699657842414,0.1265788624229827,0.6166402029865249,21,"[""PycHel""]",0.2,10.0
MacPyr,2.136444675231364,0.6055487467419572,1.215766150107255,0.18143281724714902,0.4869471858886948,21,"[""PycHel""]",0.2,10.0
MacJuv,2.312121156588669,0.508229827631749,1.2836962637677816,0.18224229187777852,0.5542593597369693,21,"[""StrPur"", ""PycHel""]",0.2,10.0
