variable,MSE,MSE_SE,MAE,MAE_SE,correlation,count,covars,covars_ind,tau_,tau_ind,regularization,regularization_ind
MacJuv,2.157820352173939,0.6798131726765047,1.2182145610509152,0.1835447677567335,0.171532815535909,21,String[],1,0.05,1,10.0,1
MacPyr,2.5033453040469897,0.691112180829534,1.2667021044389255,0.2119918727990518,-0.06021091231905323,21,String[],1,0.05,1,10.0,1
MacJuv,17.12041760364937,4.5887290610719695,3.4485155224563506,0.5112806614290712,-0.07035839126789456,21,"[""StrPur""]",2,0.05,1,10.0,1
MacPyr,10.59449802628234,2.822847006731761,2.643892424316117,0.42451919125795634,-0.6385787706246749,21,"[""StrPur""]",2,0.05,1,10.0,1
MacJuv,19.225936932923965,6.059690285767007,3.3563638369428257,0.6309024776851964,0.0005802532299606009,21,"[""PycHel""]",3,0.05,1,10.0,1
MacPyr,10.976536333879569,3.0836364299460444,2.612395957986265,0.4556272430713837,-0.6281160427539796,21,"[""PycHel""]",3,0.05,1,10.0,1
MacJuv,1.725791568058388,0.6450811965392858,0.9701252546602304,0.19807177465868414,-0.1324975574216904,21,"[""StrPur"", ""PycHel""]",4,0.05,1,10.0,1
MacPyr,2.171761099858876,0.6872651557471984,1.1235478120672884,0.213237123158432,0.27503125107815524,21,"[""StrPur"", ""PycHel""]",4,0.05,1,10.0,1
MacJuv,2.1231933384949437,0.8120112324276855,1.159523880708837,0.19731924748499097,0.31051963895920537,21,String[],1,0.1,2,10.0,1
MacPyr,2.45403180446531,0.6664798080908262,1.2475026158727711,0.21186894862814412,0.2076750720403303,21,String[],1,0.1,2,10.0,1
MacJuv,1.2133961846480825,0.425935725483266,0.8233076295401138,0.1636399602464388,0.16363037066385772,21,"[""StrPur""]",2,0.1,2,10.0,1
MacPyr,1.2050957310213457,0.4721341599254535,0.8485603184794558,0.15573071580831294,0.4901294983011232,21,"[""StrPur""]",2,0.1,2,10.0,1
MacJuv,1.1457436799094598,0.27760790645113803,0.9096507873939517,0.12615053010253735,0.280571060711488,21,"[""PycHel""]",3,0.1,2,10.0,1
MacPyr,1.3677877292998262,0.5152289248818194,0.8346323576397142,0.1831906871105349,0.45692218001171375,21,"[""PycHel""]",3,0.1,2,10.0,1
MacJuv,1.6041372616943361,0.3562027452631707,1.0904914305200084,0.1440426502215163,0.16786289852041672,21,"[""StrPur"", ""PycHel""]",4,0.1,2,10.0,1
MacPyr,1.0612584325133463,0.3292236700420896,0.820703284056908,0.13923084285666604,0.6528083103924852,21,"[""StrPur"", ""PycHel""]",4,0.1,2,10.0,1
MacJuv,2.378858947860206,0.9503032221637264,1.2076864847766207,0.21451716741884494,0.16285467174637683,21,String[],1,0.2,3,10.0,1
MacPyr,1.704612277326727,0.45685300369321225,1.0130859680572588,0.18415606135180754,0.4552421333778169,21,String[],1,0.2,3,10.0,1
MacJuv,1.043036548285627,0.3211888214980259,0.8264991733095587,0.13415208995842054,0.23495004376388606,21,"[""StrPur""]",2,0.2,3,10.0,1
MacPyr,1.4110558197174021,0.47286543425426336,0.8892162450233013,0.17611789933224592,0.35625201774855236,21,"[""StrPur""]",2,0.2,3,10.0,1
MacJuv,1.3948175289730347,0.4608554826749382,0.907678237509632,0.16895824130897602,0.16488787372573366,21,"[""PycHel""]",3,0.2,3,10.0,1
MacPyr,1.9351394284493768,0.8002937433591715,0.9395685535774663,0.22938508687115258,0.29233494310454067,21,"[""PycHel""]",3,0.2,3,10.0,1
MacJuv,1.4935479284625721,0.3770531471070559,1.0183950877136918,0.15106610701662934,0.2352117883776413,21,"[""StrPur"", ""PycHel""]",4,0.2,3,10.0,1
MacPyr,1.580259592381432,0.5863078939297165,0.9630019481198294,0.18067745297889906,0.33991817538101543,21,"[""StrPur"", ""PycHel""]",4,0.2,3,10.0,1
MacJuv,0.9091423730090643,0.21843268059000945,0.8340169773616776,0.10333393791043563,0.4785446673196476,21,String[],1,0.5,4,10.0,1
MacPyr,1.0690164633139445,0.4252242080974766,0.7601131422106393,0.15672339875599514,0.639627635121725,21,String[],1,0.5,4,10.0,1
MacJuv,0.9470558638764033,0.30853351761438086,0.8003545421999283,0.12379185568048222,0.40338830676676357,21,"[""StrPur""]",2,0.5,4,10.0,1
MacPyr,0.8993581536705523,0.2531302665090122,0.7660771554231877,0.12499678908061386,0.6351858876552472,21,"[""StrPur""]",2,0.5,4,10.0,1
MacJuv,1.107290929941626,0.2631961609816965,0.9000841355975411,0.12188918713061732,0.26932054216103296,21,"[""PycHel""]",3,0.5,4,10.0,1
MacPyr,0.9528205845847282,0.3362627742090194,0.7340320956934345,0.14387798078174308,0.6772884762910034,21,"[""PycHel""]",3,0.5,4,10.0,1
MacJuv,1.2113134046012597,0.3933213610944409,0.8515724357165972,0.15590666940977255,0.2670673408080995,21,"[""StrPur"", ""PycHel""]",4,0.5,4,10.0,1
MacPyr,1.1469763319550588,0.40337957935901764,0.7925513390055495,0.1610650034916911,0.5566580003823935,21,"[""StrPur"", ""PycHel""]",4,0.5,4,10.0,1
MacJuv,1.0585079568597688,0.26143788035558124,0.8302496287467844,0.13586638856346983,0.36914317340139013,21,String[],1,0.05,1,50.0,2
MacPyr,1.5976508785494148,0.588516460568343,0.9310586598382953,0.19115185723522699,0.6249119245774679,21,String[],1,0.05,1,50.0,2
MacJuv,8.191597817868042,4.341696607380275,1.7171940556382412,0.5119981637246724,0.18408452425512847,21,"[""StrPur""]",2,0.05,1,50.0,2
MacPyr,4.608351746156237,2.197489403610582,1.3397068885763057,0.37506914021666937,-0.16893170056001625,21,"[""StrPur""]",2,0.05,1,50.0,2
MacJuv,15.37479693973901,5.277441766636697,2.906401904374006,0.5885416259700822,0.0017578842809167373,21,"[""PycHel""]",3,0.05,1,50.0,2
MacPyr,9.14975804666366,2.623052692530409,2.3473999967334995,0.42658359684821595,-0.6305018482640135,21,"[""PycHel""]",3,0.05,1,50.0,2
MacJuv,0.9827660230958241,0.33615778343811814,0.7821254820426388,0.136206782767121,0.33028922898403057,21,"[""StrPur"", ""PycHel""]",4,0.05,1,50.0,2
MacPyr,1.0732903761104684,0.4036725890725377,0.7234157667297212,0.16582520986830052,0.6103371648220541,21,"[""StrPur"", ""PycHel""]",4,0.05,1,50.0,2
MacJuv,1.0528446713350892,0.20233372535150979,0.9217772392947933,0.10078972974791604,0.3342968044245062,21,String[],1,0.1,2,50.0,2
MacPyr,1.6460411646047397,0.5680044654255547,0.9176090792178068,0.20050370848712354,0.4681334881052875,21,String[],1,0.1,2,50.0,2
MacJuv,0.7339840179204622,0.186841341898149,0.7225937084642886,0.10291801358564219,0.5254107494085595,21,"[""StrPur""]",2,0.1,2,50.0,2
MacPyr,1.0296888154490857,0.4121593540289384,0.7452545588482681,0.15399423008102592,0.6011962251548222,21,"[""StrPur""]",2,0.1,2,50.0,2
MacJuv,1.0199000647431369,0.3105551738325356,0.828214683075309,0.12922083877641455,0.3462861592861275,21,"[""PycHel""]",3,0.1,2,50.0,2
MacPyr,1.0932790149979374,0.3949415896180681,0.7628634950661051,0.15989344934884986,0.6862038658855882,21,"[""PycHel""]",3,0.1,2,50.0,2
MacJuv,1.0456927543539019,0.2916936617689313,0.8442875631781661,0.1290099346981805,0.26861389266931535,21,"[""StrPur"", ""PycHel""]",4,0.1,2,50.0,2
MacPyr,2.1386272983760053,0.6691388755883707,1.1311299924887988,0.20726459399380012,0.3235392609307598,21,"[""StrPur"", ""PycHel""]",4,0.1,2,50.0,2
MacJuv,0.8382534406373271,0.19005519670751989,0.7989551730913423,0.09998101620505523,0.4942391325601623,21,String[],1,0.2,3,50.0,2
MacPyr,1.0997508992633118,0.40929523336341656,0.7639369821644612,0.16064731347656705,0.65647543989842,21,String[],1,0.2,3,50.0,2
MacJuv,0.8701054462824059,0.2825310710441605,0.7604485287114884,0.12079393226957609,0.41613836840478124,21,"[""StrPur""]",2,0.2,3,50.0,2
MacPyr,0.9590342717991779,0.36612915618508535,0.6909655504015475,0.15517745969654617,0.6399070552625065,21,"[""StrPur""]",2,0.2,3,50.0,2
MacJuv,0.9332899083149655,0.2855106425324705,0.8051972480756265,0.11936232655373376,0.41848988052308217,21,"[""PycHel""]",3,0.2,3,50.0,2
MacPyr,1.0437304524774764,0.3849242286794711,0.7301507331258712,0.15978272112359784,0.6702212250399778,21,"[""PycHel""]",3,0.2,3,50.0,2
MacJuv,0.9916476468285411,0.36770246975711357,0.7809146180333144,0.13817018603346082,0.3276152851669539,21,"[""StrPur"", ""PycHel""]",4,0.2,3,50.0,2
MacPyr,0.8838070782423083,0.3525366376084365,0.6680857963387126,0.147896661046282,0.6552174009191895,21,"[""StrPur"", ""PycHel""]",4,0.2,3,50.0,2
MacJuv,0.7614920699686616,0.18843855518351182,0.7307420449844008,0.10665555158093684,0.5235570663830268,21,String[],1,0.5,4,50.0,2
MacPyr,1.0669274167858267,0.3895675403059329,0.7352943547026033,0.16221430712614546,0.6186238564019046,21,String[],1,0.5,4,50.0,2
MacJuv,0.6754722329019979,0.17062262864629807,0.6952510379707642,0.09800464966076178,0.5523047355037553,21,"[""StrPur""]",2,0.5,4,50.0,2
MacPyr,0.9115055417221102,0.36340696380496573,0.6565030247285433,0.15500150325793363,0.647357022558148,21,"[""StrPur""]",2,0.5,4,50.0,2
MacJuv,0.8652151002182384,0.21402196951369312,0.7906747003321031,0.10955560653681248,0.45966275311033383,21,"[""PycHel""]",3,0.5,4,50.0,2
MacPyr,1.0172146618393039,0.3536340300209501,0.7137612066264352,0.1593360602240559,0.6372005319765631,21,"[""PycHel""]",3,0.5,4,50.0,2
MacJuv,0.7770443653792082,0.19818607520852546,0.7413960569412138,0.10662463414502968,0.4900796835334832,21,"[""StrPur"", ""PycHel""]",4,0.5,4,50.0,2
MacPyr,0.8991337399128552,0.33914528220781154,0.6625646750023189,0.1516808806923152,0.6504742713585416,21,"[""StrPur"", ""PycHel""]",4,0.5,4,50.0,2
MacJuv,1.4030281173947894,0.37267403427526175,0.983444180814387,0.14762548232217723,0.3430576550224051,21,String[],1,0.05,1,100.0,3
MacPyr,1.6633708363815676,0.5536114651029107,0.961792027629465,0.1921362709081721,0.6545985758996012,21,String[],1,0.05,1,100.0,3
MacJuv,10.183793384734548,5.091973074060562,1.8889680370281206,0.5751344686167175,0.15244960679635533,21,"[""StrPur""]",2,0.05,1,100.0,3
MacPyr,5.109898987799143,2.0758989521887568,1.5041686527544438,0.3773178800341977,-0.20968689542150223,21,"[""StrPur""]",2,0.05,1,100.0,3
MacJuv,12.155385986211622,4.130430998910485,2.5819371619662914,0.5238791119079418,0.025403218085586824,21,"[""PycHel""]",3,0.05,1,100.0,3
MacPyr,7.49740241322792,2.0401010963092645,2.148371016198637,0.37959876119302305,-0.6162478567719546,21,"[""PycHel""]",3,0.05,1,100.0,3
MacJuv,0.9797275771800367,0.3019551096709431,0.8036709352366571,0.12919764027176994,0.2763013746937834,21,"[""StrPur"", ""PycHel""]",4,0.05,1,100.0,3
MacPyr,0.9145986458452201,0.28180682479420177,0.7055865743355059,0.14435134775309608,0.6630401449802588,21,"[""StrPur"", ""PycHel""]",4,0.05,1,100.0,3
MacJuv,0.7912806767214902,0.18176431354037123,0.7610687282325584,0.10296967214378373,0.5404676986786804,21,String[],1,0.1,2,100.0,3
MacPyr,1.3416862842130557,0.44037926891762535,0.831133158880183,0.18040287642148392,0.6613314343128809,21,String[],1,0.1,2,100.0,3
MacJuv,0.7626589516064689,0.21998062533400167,0.7070232519657496,0.11462483866646123,0.42984941806314203,21,"[""StrPur""]",2,0.1,2,100.0,3
MacPyr,1.062479669046571,0.3629475854754977,0.7835194433100784,0.1497626373635353,0.6310974943338529,21,"[""StrPur""]",2,0.1,2,100.0,3
MacJuv,0.9389824396104203,0.27028636074219853,0.8341338963294005,0.11027308887592517,0.38022878400813215,21,"[""PycHel""]",3,0.1,2,100.0,3
MacPyr,1.093572713060053,0.3817042609404924,0.7614179270229882,0.16028341359418147,0.6935696607364149,21,"[""PycHel""]",3,0.1,2,100.0,3
MacJuv,0.9231217316414971,0.31602092011482286,0.7662968018779556,0.12959763560210394,0.3384967971003404,21,"[""StrPur"", ""PycHel""]",4,0.1,2,100.0,3
MacPyr,0.9855617130822845,0.41060797434769075,0.6672307243176424,0.16437227162889104,0.6272524313445489,21,"[""StrPur"", ""PycHel""]",4,0.1,2,100.0,3
MacJuv,0.7477575503419758,0.1882917732269114,0.7248949465248844,0.10542411176876486,0.5163574517678391,21,String[],1,0.2,3,100.0,3
MacPyr,1.1944040134501088,0.41930222865545125,0.801167268129397,0.1662129690981104,0.631062025360834,21,String[],1,0.2,3,100.0,3
MacJuv,0.6984590498501922,0.1882822938732017,0.6849857051978896,0.10706391397775952,0.5037527148047034,21,"[""StrPur""]",2,0.2,3,100.0,3
MacPyr,0.9100573320169102,0.3463006705785093,0.6800691585565607,0.1495933273239622,0.66304911994999,21,"[""StrPur""]",2,0.2,3,100.0,3
MacJuv,0.8823037748862762,0.2333576721180593,0.7961922437053865,0.11144094533645585,0.4394934608988431,21,"[""PycHel""]",3,0.2,3,100.0,3
MacPyr,1.1374895641647322,0.39404859097385014,0.7511508935987786,0.16930178664303702,0.643447324599335,21,"[""PycHel""]",3,0.2,3,100.0,3
MacJuv,0.8473024560471462,0.2514978826100564,0.7555025107987536,0.11758367493490013,0.3999785827317517,21,"[""StrPur"", ""PycHel""]",4,0.2,3,100.0,3
MacPyr,0.8770937189772858,0.3585510390302962,0.6183574956228179,0.1572780541881737,0.6676401306799574,21,"[""StrPur"", ""PycHel""]",4,0.2,3,100.0,3
MacJuv,0.7545583526591277,0.17661126874065158,0.7306729473980986,0.10504175279375895,0.5131109754760841,21,String[],1,0.5,4,100.0,3
MacPyr,0.9517976205268999,0.3536892829949879,0.6926364904988535,0.153631427864928,0.629200591374623,21,String[],1,0.5,4,100.0,3
MacJuv,0.6911520407594013,0.15823351245228756,0.7071414318840178,0.09775045679494858,0.5435632295219488,21,"[""StrPur""]",2,0.5,4,100.0,3
MacPyr,0.839502152752741,0.3365496361018937,0.6328053577364363,0.14816536909359113,0.6588837049747011,21,"[""StrPur""]",2,0.5,4,100.0,3
MacJuv,0.8363292026646831,0.2029520828355444,0.7678464051834607,0.111072296436042,0.462631225120858,21,"[""PycHel""]",3,0.5,4,100.0,3
MacPyr,0.9477219200474722,0.3314152229492534,0.6989459151153217,0.15152500252286383,0.6368397832631214,21,"[""PycHel""]",3,0.5,4,100.0,3
