variable,MSE,MSE_SE,MAE,MAE_SE,correlation,count,covars,covars_ind,tau_,tau_ind,regularization,regularization_ind
MacJuv,0.8762016427122497,0.19855923837239825,0.8028751417165074,0.10760881690780447,0.547167189981818,21,String[],1,0.05,1,50.0,1
MacPyr,1.6076935087048168,0.7018676064660482,0.883897268683732,0.20327556753312187,0.2106151710859792,21,String[],1,0.05,1,50.0,1
MacJuv,0.8649656476229769,0.30263125612778696,0.6805078592806794,0.1417523723046997,0.26994629600638964,21,"[""StrPur""]",2,0.05,1,50.0,1
MacPyr,1.3520868949805493,0.4616971069564605,0.8668152040340553,0.17330872699260536,0.3342523078510723,21,"[""StrPur""]",2,0.05,1,50.0,1
MacJuv,0.6469320813975726,0.18854364210520239,0.6592339619214411,0.1030394741948281,0.553239533917594,21,"[""PycHel""]",3,0.05,1,50.0,1
MacPyr,1.642961010994856,0.5916444161834735,0.9594895989257312,0.1900448263631762,0.12687537618727815,21,"[""PycHel""]",3,0.05,1,50.0,1
MacJuv,0.8746565460062948,0.2093220747282726,0.7846111130164762,0.11380728169527231,0.34775510205142085,21,"[""StrPur"", ""PycHel""]",4,0.05,1,50.0,1
MacPyr,1.4356374593738308,0.3919243249567205,0.9559333378130055,0.1615284670006369,0.13099597769165308,21,"[""StrPur"", ""PycHel""]",4,0.05,1,50.0,1
MacJuv,0.5569061439091287,0.15833648540884548,0.5986377878506238,0.09963406617880262,0.5908854064254602,21,String[],1,0.1,2,50.0,1
MacPyr,1.2182656775200449,0.45163497046767537,0.8070560548808416,0.16836362460463625,0.4935696769023342,21,String[],1,0.1,2,50.0,1
MacJuv,0.7200928720219573,0.23699235684843342,0.6662999746743768,0.11750259907144224,0.4363385027246984,21,"[""StrPur""]",2,0.1,2,50.0,1
MacPyr,1.6609601684956365,0.4904010364460229,0.981462369066721,0.18677416665609511,0.2248355940041645,21,"[""StrPur""]",2,0.1,2,50.0,1
MacJuv,0.6607437227716295,0.22122515116195718,0.6446151291933196,0.1107282840982171,0.502233879601064,21,"[""PycHel""]",3,0.1,2,50.0,1
MacPyr,1.2937194611070364,0.45276840240810895,0.8381504226378025,0.17193361075413818,0.4158606454796777,21,"[""PycHel""]",3,0.1,2,50.0,1
MacJuv,0.6597584203589266,0.1991140093008252,0.6232121844720628,0.1164828299545659,0.5359567913106698,21,"[""StrPur"", ""PycHel""]",4,0.1,2,50.0,1
MacPyr,1.8153930151120532,0.7148879693165444,0.8972004601520182,0.2247692538376924,0.32473276549938523,21,"[""StrPur"", ""PycHel""]",4,0.1,2,50.0,1
MacJuv,0.6375972670611648,0.18621075454245112,0.6398985209269837,0.10680055008674426,0.5142305415328791,21,String[],1,0.2,3,50.0,1
MacPyr,1.3671972169477073,0.46145916014521343,0.8972156394398425,0.16766056681466013,0.5071919721944328,21,String[],1,0.2,3,50.0,1
MacJuv,0.6682478415240195,0.21334344497518998,0.6384615506904312,0.11415224260039515,0.4726703353166513,21,"[""StrPur""]",2,0.2,3,50.0,1
MacPyr,1.7555422751228518,0.5509847123532329,1.0208507584606203,0.18886582592851842,0.1832567783758717,21,"[""StrPur""]",2,0.2,3,50.0,1
MacJuv,0.750395527887254,0.21893353930857978,0.7052328312931556,0.1124815943951484,0.43604222693373296,21,"[""PycHel""]",3,0.2,3,50.0,1
MacPyr,1.563932797360077,0.6476251629027057,0.8548929810794881,0.2040944374868045,0.3813166873929215,21,"[""PycHel""]",3,0.2,3,50.0,1
MacJuv,0.6602748963830454,0.21798777269717784,0.6172744701107892,0.11816241469530188,0.5208245043672347,21,"[""StrPur"", ""PycHel""]",4,0.2,3,50.0,1
MacPyr,1.2540857069552298,0.4308122013605867,0.8070133159390402,0.17361094649420944,0.4639564321250733,21,"[""StrPur"", ""PycHel""]",4,0.2,3,50.0,1
MacJuv,0.5695289177361941,0.19166266403250024,0.5898250165777061,0.10526997852077838,0.6193014895324267,21,String[],1,0.5,4,50.0,1
MacPyr,1.297455550354396,0.40317964927546507,0.861869995915595,0.16652862524125522,0.5153575624806088,21,String[],1,0.5,4,50.0,1
MacJuv,0.6011075510971354,0.2080456184481561,0.6060427077571706,0.1081248786060572,0.5922544062038914,21,"[""StrPur""]",2,0.5,4,50.0,1
MacPyr,1.3208933028636884,0.4069282740117129,0.87081792240757,0.16771545082034806,0.5211742784064269,21,"[""StrPur""]",2,0.5,4,50.0,1
MacJuv,0.6222725860348939,0.21717989795008938,0.6239573148228239,0.10792355056103031,0.5779206687815756,21,"[""PycHel""]",3,0.5,4,50.0,1
MacPyr,1.0801384949963186,0.30746218701820216,0.7923553846655541,0.15038474646516187,0.6449065380754158,21,"[""PycHel""]",3,0.5,4,50.0,1
MacJuv,0.5576783509435758,0.20409719091510392,0.5648790910888211,0.10922224210165324,0.6691001343467281,21,"[""StrPur"", ""PycHel""]",4,0.5,4,50.0,1
MacPyr,1.3414630947904276,0.38955432880185287,0.86495773223135,0.17223693219568623,0.4781044484924871,21,"[""StrPur"", ""PycHel""]",4,0.5,4,50.0,1
MacJuv,0.7728393381464762,0.28437717586891254,0.6899990495206646,0.12180735811252441,0.4386686004058448,21,String[],1,0.05,1,100.0,2
MacPyr,1.8703817139612149,0.7803845858829263,0.9505700561645924,0.21986339875982755,0.22966105742575843,21,String[],1,0.05,1,100.0,2
MacJuv,0.9348857557350045,0.31137016718635285,0.7278299156139073,0.14232873386503114,0.2014961598854158,21,"[""StrPur""]",2,0.05,1,100.0,2
MacPyr,1.2397102872190884,0.4408482897894384,0.8109642142672415,0.17059415734382644,0.39870998575202077,21,"[""StrPur""]",2,0.05,1,100.0,2
MacJuv,0.5422104314926283,0.14853923042236064,0.5997576186934521,0.09552518785948234,0.6376546547273363,21,"[""PycHel""]",3,0.05,1,100.0,2
MacPyr,1.6443483761738127,0.637822260441418,0.8983448927440947,0.20461241773831984,0.28552133023710285,21,"[""PycHel""]",3,0.05,1,100.0,2
