variable,MSE,MSE_SE,MAE,MAE_SE,correlation,count,covars,covars_ind,tau_,tau_ind,regularization,regularization_ind
MacJuv,0.8499720941084116,0.20487611866741287,0.7763599827228544,0.1111839177522947,0.6391616062924321,21,String[],1,0.2,3,500.0,4
MacPyr,0.9959079699638844,0.32998198708120025,0.7701943415097567,0.1418993739010565,0.6466563899258785,21,String[],1,0.2,3,500.0,4
MacJuv,18.602685948101605,6.707940279067081,3.116129276418288,0.6667992306815614,-0.3536994643109779,21,"[""StrPur""]",2,0.05,1,10.0,1
MacPyr,6.944418017448914,2.403418177661068,2.0096699444996577,0.3811590699185615,-0.3493265725285335,21,"[""StrPur""]",2,0.05,1,10.0,1
MacJuv,36.210880211523815,10.144232181593473,4.7638176451627885,0.822098584573635,-0.29074458607724035,21,"[""PycHel""]",3,0.05,1,10.0,1
MacPyr,13.74728792166139,4.1499353378277934,2.9440115221573984,0.5039882974368489,-0.5695471544988977,21,"[""PycHel""]",3,0.05,1,10.0,1
MacJuv,1.0414145348125114,0.20253927123623303,0.9012236257823938,0.10705384419630784,0.5633862933185139,21,"[""StrPur"", ""PycHel""]",4,0.05,1,10.0,1
MacPyr,2.241354214723657,0.7283319462087283,1.121905570404812,0.221662142214036,0.2562088354857254,21,"[""StrPur"", ""PycHel""]",4,0.05,1,10.0,1
MacJuv,1.323517059720247,0.36992453370072875,0.9235925164608629,0.15337762601790028,0.5736097068655466,21,String[],1,0.1,2,10.0,1
MacPyr,2.3700773502160337,0.957477161646564,1.1618849034267396,0.225842956654073,0.21358385279071457,21,String[],1,0.1,2,10.0,1
MacJuv,1.7800372658264405,0.3850517172638268,1.149102351838393,0.15159172979188465,0.3608132482561511,21,"[""StrPur""]",2,0.1,2,10.0,1
MacPyr,1.0154750820058926,0.3680707870304811,0.7919028747169776,0.13934936652544916,0.6768964442752089,21,"[""StrPur""]",2,0.1,2,10.0,1
MacJuv,1.3568983431311434,0.2564922860802678,1.0193911953707535,0.1260436301309451,0.46968271972348563,21,"[""PycHel""]",3,0.1,2,10.0,1
MacPyr,1.534133125141039,0.585715481168742,0.9177602122960706,0.18599049947071356,0.5032785271500686,21,"[""PycHel""]",3,0.1,2,10.0,1
MacJuv,1.548044051550224,0.37533345254880923,1.0590663148656916,0.14601756611227087,0.4976619950777045,21,"[""StrPur"", ""PycHel""]",4,0.1,2,10.0,1
MacPyr,1.8700725480001477,0.5202072279753583,1.097537874691381,0.18241205574441532,0.4620068768408484,21,"[""StrPur"", ""PycHel""]",4,0.1,2,10.0,1
MacJuv,0.8499720941084116,0.20487611866741287,0.7763599827228544,0.1111839177522947,0.6391616062924321,21,String[],1,0.2,3,500.0,4
MacPyr,0.9959079699638844,0.32998198708120025,0.7701943415097567,0.1418993739010565,0.6466563899258785,21,String[],1,0.2,3,500.0,4
MacJuv,1.3048415046092778,0.4017653310730686,0.8535045145148427,0.16976035289667324,0.5100858213494517,21,"[""StrPur""]",2,0.2,3,10.0,1
MacPyr,1.2367510637127026,0.42083011665151365,0.8735589436214477,0.15389051883265634,0.5500982260285103,21,"[""StrPur""]",2,0.2,3,10.0,1
MacJuv,1.057134230557287,0.3633722328228255,0.7524069131835283,0.15668727892699547,0.490626135906199,21,"[""PycHel""]",3,0.2,3,10.0,1
MacPyr,1.6012997754163014,0.5650480724291398,0.9591238626137252,0.1845780582275734,0.5874523056215841,21,"[""PycHel""]",3,0.2,3,10.0,1
MacJuv,1.7746588800084453,0.4515155168439521,1.0484654073256023,0.18376332191843997,0.49770575524291566,21,"[""StrPur"", ""PycHel""]",4,0.2,3,10.0,1
MacPyr,1.5795207403072704,0.46487571805179717,1.00548547001255,0.1686000756080661,0.5028237032195007,21,"[""StrPur"", ""PycHel""]",4,0.2,3,10.0,1
MacJuv,1.1389115095389681,0.3093711934470383,0.8909162585746679,0.13137346188372354,0.5637875617206851,21,String[],1,0.5,4,10.0,1
MacPyr,1.1979553151454259,0.4252515441966126,0.8398942174515912,0.1569288084828284,0.6209579586781441,21,String[],1,0.5,4,10.0,1
MacJuv,1.2791691055131311,0.3573011573330042,0.9212969298239109,0.1466937409384202,0.504497405455778,21,"[""StrPur""]",2,0.5,4,10.0,1
MacPyr,0.8623863367391977,0.2758706651395637,0.7387402114764867,0.12582711088769255,0.7081238093679171,21,"[""StrPur""]",2,0.5,4,10.0,1
MacJuv,1.0243798955115844,0.231137244763767,0.897169034127162,0.10475390678034865,0.5260481420470283,21,"[""PycHel""]",3,0.5,4,10.0,1
MacPyr,1.2347774763402761,0.40791325576370063,0.8526340300745894,0.15934125126580376,0.5907334015603211,21,"[""PycHel""]",3,0.5,4,10.0,1
MacJuv,1.3098678022590313,0.38999604086929157,0.9398086353466565,0.14605264995659734,0.38442009803860255,21,"[""StrPur"", ""PycHel""]",4,0.5,4,10.0,1
MacPyr,1.6791996299516394,0.5853814612942202,0.930623198067737,0.201635821863306,0.43630080222271594,21,"[""StrPur"", ""PycHel""]",4,0.5,4,10.0,1
MacJuv,0.8499720941084116,0.20487611866741287,0.7763599827228544,0.1111839177522947,0.6391616062924321,21,String[],1,0.2,3,500.0,4
MacPyr,0.9959079699638844,0.32998198708120025,0.7701943415097567,0.1418993739010565,0.6466563899258785,21,String[],1,0.2,3,500.0,4
MacJuv,18.601935335895234,7.46960700441029,3.019314356301141,0.6886826610903262,-0.37240179197308887,21,"[""StrPur""]",2,0.05,1,50.0,2
MacPyr,5.619682076418976,2.29048964922125,1.7289237871635281,0.3626640742201451,-0.25221154831800524,21,"[""StrPur""]",2,0.05,1,50.0,2
MacJuv,22.712895153324514,6.0869748924409866,3.777795987312138,0.6496596274809152,-0.255528759790589,21,"[""PycHel""]",3,0.05,1,50.0,2
MacPyr,8.868054645240358,2.176406698676882,2.4648932418790634,0.37365465013694665,-0.5243149775714998,21,"[""PycHel""]",3,0.05,1,50.0,2
MacJuv,1.2857782547509546,0.3600845256740722,0.9382480584885432,0.14238483688466166,0.4246818761443304,21,"[""StrPur"", ""PycHel""]",4,0.05,1,50.0,2
MacPyr,1.3237194297596677,0.3976307021082753,0.91482356239226,0.15601558887681746,0.5322538597445802,21,"[""StrPur"", ""PycHel""]",4,0.05,1,50.0,2
MacJuv,0.9425933293036719,0.2512520264753342,0.8033703245249542,0.12189943621205589,0.6047914261355622,21,String[],1,0.1,2,50.0,2
MacPyr,0.8821973048488303,0.39855796958151246,0.6617903135583441,0.14903537931128624,0.7239612765571924,21,String[],1,0.1,2,50.0,2
MacJuv,1.095838829286223,0.31535126653399875,0.8553505367896986,0.13494708009064096,0.5584559960175287,21,"[""StrPur""]",2,0.1,2,50.0,2
MacPyr,0.9219801944458336,0.31708713238627323,0.7610374883087927,0.1309202306434108,0.6931138489009203,21,"[""StrPur""]",2,0.1,2,50.0,2
MacJuv,1.0896221148316463,0.2999915573011669,0.8862445263478184,0.12332735997137394,0.5038819560570063,21,"[""PycHel""]",3,0.1,2,50.0,2
MacPyr,1.137370127463342,0.4272721330807813,0.8046888545778961,0.15650015571580997,0.6418564825408738,21,"[""PycHel""]",3,0.1,2,50.0,2
MacJuv,1.1999998417393545,0.35458840217359716,0.9279491402727248,0.13017492746425202,0.43939464401379813,21,"[""StrPur"", ""PycHel""]",4,0.1,2,50.0,2
MacPyr,1.070368803700616,0.34383669568730835,0.7875795188361249,0.15001455016272158,0.65656706905202,21,"[""StrPur"", ""PycHel""]",4,0.1,2,50.0,2
MacJuv,0.8499720941084116,0.20487611866741287,0.7763599827228544,0.1111839177522947,0.6391616062924321,21,String[],1,0.2,3,500.0,4
MacPyr,0.9959079699638844,0.32998198708120025,0.7701943415097567,0.1418993739010565,0.6466563899258785,21,String[],1,0.2,3,500.0,4
MacJuv,1.0602789244637132,0.2949687685089421,0.8241275385513609,0.13803853169767277,0.572799408161976,21,"[""StrPur""]",2,0.2,3,50.0,2
MacPyr,0.8385526598331212,0.3274826115624122,0.691813373290899,0.13415418673470253,0.721221774401124,21,"[""StrPur""]",2,0.2,3,50.0,2
MacJuv,0.9865599570713377,0.239459667629799,0.8418304321578686,0.11787312682800823,0.5204313264692365,21,"[""PycHel""]",3,0.2,3,50.0,2
MacPyr,1.093805493556891,0.3842027583846699,0.7655425630212452,0.15933456589198616,0.6348056549739141,21,"[""PycHel""]",3,0.2,3,50.0,2
MacJuv,0.8953366509862445,0.21229418871927372,0.7924937231837083,0.11560500631475008,0.5898389836845743,21,"[""StrPur"", ""PycHel""]",4,0.05,1,500.0,4
MacPyr,1.07854412810163,0.3256266961153395,0.8094720246585109,0.14548181491115678,0.6511102258767127,21,"[""StrPur"", ""PycHel""]",4,0.05,1,500.0,4
MacJuv,0.841097322535308,0.20508691064120124,0.7703092173150888,0.1112926395263235,0.6470737198234885,21,String[],1,0.5,4,50.0,2
MacPyr,1.0211520683548454,0.3699683179574026,0.760928448682043,0.14868422316123264,0.6662139188282944,21,String[],1,0.5,4,50.0,2
MacJuv,0.844271085922505,0.2079417668205708,0.7714912452630426,0.11159577599644731,0.6407084151338897,21,"[""StrPur""]",2,0.5,4,50.0,2
MacPyr,0.9316651355247235,0.35214849612690924,0.7278468858470549,0.14175754764517257,0.6909299498799443,21,"[""StrPur""]",2,0.5,4,50.0,2
MacJuv,0.8401467343429649,0.19409321611482896,0.782768469411752,0.10663495150225082,0.619988707299016,21,"[""PycHel""]",3,0.5,4,50.0,2
MacPyr,1.099583912562924,0.35703119272652367,0.8123196781984676,0.14827687833483383,0.6258914400209459,21,"[""PycHel""]",3,0.5,4,50.0,2
MacJuv,0.8343407970091127,0.1945317852655353,0.7857661574739215,0.1041422927483789,0.6143557413055054,21,"[""StrPur"", ""PycHel""]",4,0.5,4,50.0,2
MacPyr,0.9939694347968773,0.322846026264058,0.7778273182819385,0.13945502818672498,0.6533595376874863,21,"[""StrPur"", ""PycHel""]",4,0.5,4,50.0,2
MacJuv,0.8499720941084116,0.20487611866741287,0.7763599827228544,0.1111839177522947,0.6391616062924321,21,String[],1,0.2,3,500.0,4
MacPyr,0.9959079699638844,0.32998198708120025,0.7701943415097567,0.1418993739010565,0.6466563899258785,21,String[],1,0.2,3,500.0,4
MacJuv,0.7812443592644869,0.24346908630552033,0.6748910849522967,0.1276256993548711,0.6344710019413999,21,"[""StrPur""]",2,0.05,1,100.0,3
MacPyr,0.9725694476190659,0.37510618855953104,0.7265319105270326,0.14911754266433674,0.6806085446954415,21,"[""StrPur""]",2,0.05,1,100.0,3
MacJuv,16.882972580951495,4.64541292677335,3.239666171759494,0.5651343060064873,-0.21199528253488578,21,"[""PycHel""]",3,0.05,1,100.0,3
MacPyr,6.794271413025314,1.580445160125026,2.1916867921261263,0.31549805215287785,-0.466332167460448,21,"[""PycHel""]",3,0.05,1,100.0,3
MacJuv,0.8939776189023237,0.260820117823288,0.7823598832032559,0.11872039253146689,0.583683411998108,21,"[""StrPur"", ""PycHel""]",4,0.05,1,100.0,3
MacPyr,1.126837491647017,0.4378371045616041,0.7964092286174769,0.1569346730681165,0.6166029357068996,21,"[""StrPur"", ""PycHel""]",4,0.05,1,100.0,3
MacJuv,0.886321161364839,0.2198065543162033,0.798172995430481,0.11163355918593039,0.6331137873374365,21,String[],1,0.1,2,100.0,3
MacPyr,0.9384592992195989,0.4004348770315909,0.6948392394441945,0.15094000969726545,0.716127072095342,21,String[],1,0.1,2,100.0,3
MacJuv,1.0178409198107903,0.2869853285790084,0.8172836577300366,0.1322664626082899,0.5488381542032786,21,"[""StrPur""]",2,0.1,2,100.0,3
MacPyr,0.9065373193626575,0.3770435032434366,0.6818318686323626,0.14860057575257876,0.7157428887402639,21,"[""StrPur""]",2,0.1,2,100.0,3
MacJuv,0.9689318180080723,0.25899717250977444,0.8395413254114168,0.11491348505169316,0.5259204918501579,21,"[""PycHel""]",3,0.1,2,100.0,3
MacPyr,1.0756781723477038,0.39767417732266197,0.7512999918560387,0.15987909409688628,0.6659604693246827,21,"[""PycHel""]",3,0.1,2,100.0,3
MacJuv,0.9761073751542281,0.2509166073517745,0.8329757947773431,0.11879787465886794,0.5372812056898267,21,"[""StrPur"", ""PycHel""]",4,0.1,2,100.0,3
MacPyr,1.050424283570268,0.4049848552611998,0.7458395499370083,0.1571858214534677,0.6631636859282489,21,"[""StrPur"", ""PycHel""]",4,0.1,2,100.0,3
MacJuv,0.8499720941084116,0.20487611866741287,0.7763599827228544,0.1111839177522947,0.6391616062924321,21,String[],1,0.2,3,500.0,4
MacPyr,0.9959079699638844,0.32998198708120025,0.7701943415097567,0.1418993739010565,0.6466563899258785,21,String[],1,0.2,3,500.0,4
MacJuv,0.8399944391182119,0.21837194885700778,0.7589024647664109,0.11490463177994134,0.6229085221101273,21,"[""StrPur""]",2,0.2,3,100.0,3
MacPyr,0.893823784459057,0.34589557877975313,0.7041898679472456,0.1410567996126911,0.7100500653655554,21,"[""StrPur""]",2,0.2,3,100.0,3
MacJuv,0.8969216953964877,0.21390862344432873,0.8048524073942758,0.1116096540869396,0.580006040910074,21,"[""PycHel""]",3,0.2,3,100.0,3
MacPyr,1.1806871662522345,0.4092170834895691,0.7995978334819819,0.16451906742732825,0.6152887124671013,21,"[""PycHel""]",3,0.2,3,100.0,3
MacJuv,0.8569441009841289,0.2178972981822625,0.7837504383604729,0.11015428982883406,0.5827846123525068,21,"[""StrPur"", ""PycHel""]",4,0.2,3,100.0,3
MacPyr,0.9674497115467562,0.34657814292539113,0.7212212084257251,0.14954759778473414,0.6675955717038783,21,"[""StrPur"", ""PycHel""]",4,0.2,3,100.0,3
MacJuv,0.812105515765795,0.196522686670401,0.7626592170447444,0.10734440703233974,0.6549330391186184,21,String[],1,0.5,4,100.0,3
MacPyr,0.9403434866527325,0.33113948337134874,0.7419532212252589,0.13961534732367262,0.6733392577237104,21,String[],1,0.5,4,100.0,3
