variable,MSE,MSE_SE,MAE,MAE_SE,correlation,count,covars_ind,tau_,covars,tau_ind,regularization,regularization_ind
MacJuv,0.8284545116519089,0.2631833597853866,0.711076045229481,0.1270482919115228,0.661640038280138,21,1,0.05,String[],1,100.0,2
MacPyr,2.453831415747818,1.1787319698442391,1.104961231162721,0.24828331532497122,-0.031932751480107914,21,1,0.05,String[],1,100.0,2
MacJuv,1.4444625106462665,0.41146218985652827,0.9634947644066553,0.16064562701910537,0.259368998346034,21,2,0.05,"[""StrPur""]",1,50.0,1
MacPyr,2.532069862153185,1.2171831221768499,1.106776578676298,0.2556477524883383,0.02211588029250665,21,2,0.05,"[""StrPur""]",1,50.0,1
MacJuv,0.8081166625600492,0.21131211073535736,0.7283988994415721,0.11780316333875668,0.6333734170694284,21,3,0.05,"[""PycHel""]",1,50.0,1
MacPyr,2.5021546643360493,1.4002719699681243,1.0279562850950517,0.26883643170798394,0.005759602442905483,21,3,0.05,"[""PycHel""]",1,50.0,1
MacJuv,1.267941737704224,0.2947501309480939,0.9729415512643371,0.1267530030270623,0.26619280186340055,21,4,0.05,"[""StrPur"", ""PycHel""]",1,50.0,1
MacPyr,4.797112657382125,2.7993380991729313,1.417504670443651,0.3733492444516637,-0.35025150225248264,21,4,0.05,"[""StrPur"", ""PycHel""]",1,50.0,1
MacJuv,0.7905255149783037,0.22543030579511658,0.7025748012836652,0.12184296524205286,0.6097773279991533,21,1,0.1,String[],2,50.0,1
MacPyr,4.922124929905101,3.7498322344531885,1.1988255060648647,0.4174291757839539,-0.28323637266457213,21,1,0.1,String[],2,50.0,1
MacJuv,1.0080190106125515,0.320825549235894,0.7765477149521169,0.14230120467079627,0.5055458507887359,21,2,0.1,"[""StrPur""]",2,50.0,1
MacPyr,2.2946153693823934,1.2053402478712338,1.0197334899165313,0.25047544579509634,0.18850948254930072,21,2,0.1,"[""StrPur""]",2,50.0,1
MacJuv,1.1594930029998576,0.29886039713215456,0.8747850819049321,0.14040015375284307,0.4697032018194698,21,3,0.1,"[""PycHel""]",2,50.0,1
MacPyr,2.0022134570545767,0.7426958908883048,0.9848183614261752,0.22719443787782748,0.1772030936682577,21,3,0.1,"[""PycHel""]",2,50.0,1
MacJuv,0.7845071863526331,0.25089486170073966,0.6871357725363942,0.12497031976702423,0.6461525246587052,21,4,0.1,"[""StrPur"", ""PycHel""]",2,50.0,1
MacPyr,7.693475999649623,4.668497348160921,1.7081443734120831,0.4886572827263635,-0.3340321430948619,21,4,0.1,"[""StrPur"", ""PycHel""]",2,50.0,1
MacJuv,0.8284545116519089,0.2631833597853866,0.711076045229481,0.1270482919115228,0.661640038280138,21,1,0.05,String[],1,100.0,2
MacPyr,2.453831415747818,1.1787319698442391,1.104961231162721,0.24828331532497122,-0.031932751480107914,21,1,0.05,String[],1,100.0,2
MacJuv,0.829922887435675,0.22068444714129307,0.7444765848967274,0.11740474904708514,0.5797396477662826,21,2,0.2,"[""StrPur""]",3,50.0,1
MacPyr,3.721437643607637,2.2976303478321145,1.2364603228994244,0.33110447848851937,-0.2523940512359745,21,2,0.2,"[""StrPur""]",3,50.0,1
MacJuv,0.8452519531997676,0.24792823534838854,0.7178602892225161,0.12843842072314912,0.5790561031250389,21,3,0.2,"[""PycHel""]",3,50.0,1
MacPyr,3.147922132448749,2.1154795196229346,1.065598980499731,0.3172082080595239,-0.20635494205811508,21,3,0.2,"[""PycHel""]",3,50.0,1
MacJuv,0.917987969041399,0.2535059369020876,0.7549220886040084,0.13192433611338752,0.5486880989437906,21,4,0.2,"[""StrPur"", ""PycHel""]",3,50.0,1
MacPyr,2.0652634616639123,0.9648768839977453,1.02173762310755,0.22597739833780353,0.15331641795532605,21,4,0.2,"[""StrPur"", ""PycHel""]",3,50.0,1
MacJuv,0.6503301690324831,0.19724071157953182,0.6533721308090868,0.10569650602420042,0.686376565091942,21,1,0.5,String[],4,50.0,1
MacPyr,1.8302749013747852,0.7614903684458353,1.004017024489843,0.20275905847943604,0.5001147447193047,21,1,0.5,String[],4,50.0,1
MacJuv,0.6832584199518715,0.20827716719398315,0.673087104464676,0.10728750387515548,0.6655595535632599,21,2,0.5,"[""StrPur""]",4,50.0,1
MacPyr,1.8535994600896155,0.7531043588042067,1.0156330856800868,0.20274231124281403,0.4908569101291294,21,2,0.5,"[""StrPur""]",4,50.0,1
MacJuv,0.7650955165761734,0.2506513363130651,0.6876225818862038,0.1208864552909722,0.6099956413648504,21,3,0.5,"[""PycHel""]",4,50.0,1
MacPyr,1.4467303615913987,0.5612466966025789,0.9056449561410153,0.17699400766801923,0.5552220168624575,21,3,0.5,"[""PycHel""]",4,50.0,1
MacJuv,0.6655912210657827,0.21646399812030298,0.6333362721460166,0.11499486672238231,0.6826472197306961,21,4,0.5,"[""StrPur"", ""PycHel""]",4,50.0,1
MacPyr,2.0368819833468783,0.950338495439579,1.0153603320631617,0.22426829684771146,0.06382425730503702,21,4,0.5,"[""StrPur"", ""PycHel""]",4,50.0,1
MacJuv,0.8284545116519089,0.2631833597853866,0.711076045229481,0.1270482919115228,0.661640038280138,21,1,0.05,String[],1,100.0,2
MacPyr,2.453831415747818,1.1787319698442391,1.104961231162721,0.24828331532497122,-0.031932751480107914,21,1,0.05,String[],1,100.0,2
MacJuv,1.346087413318519,0.3937766942709613,0.924635527883029,0.15670618269471556,0.335040617386362,21,2,0.05,"[""StrPur""]",1,100.0,2
MacPyr,1.6197381170800482,0.6185509969714323,0.9290247114655995,0.19450593854254264,0.3334985713490704,21,2,0.05,"[""StrPur""]",1,100.0,2
MacJuv,0.9185465460509297,0.2380414843215761,0.807105481994242,0.11556973803417833,0.5758363245126672,21,3,0.05,"[""PycHel""]",1,100.0,2
MacPyr,1.7756910724224506,0.6252517426665336,0.9651485095029056,0.20544822060883985,0.2574954513598711,21,3,0.05,"[""PycHel""]",1,100.0,2
MacJuv,1.050495663499796,0.32999614801155785,0.8093580038806871,0.14061210564067125,0.450886284390177,21,4,0.05,"[""StrPur"", ""PycHel""]",1,100.0,2
MacPyr,1.8537074432363068,0.8419459717732845,0.8915253269741635,0.2300967225537902,0.12941633755445175,21,4,0.05,"[""StrPur"", ""PycHel""]",1,100.0,2
MacJuv,0.8287746249045728,0.23622805685452553,0.7103687382575006,0.1273088529150702,0.5927998250695647,21,1,0.1,String[],2,100.0,2
MacPyr,2.391877209666895,1.241972913637975,1.0220448066062136,0.2595478398057054,0.10055990915149257,21,1,0.1,String[],2,100.0,2
MacJuv,0.8208730318223881,0.2284525972925362,0.7418010255748555,0.11631944598356733,0.6004798973993821,21,2,0.1,"[""StrPur""]",2,100.0,2
MacPyr,2.4102878952801072,1.1727027537634267,1.123689343152974,0.2395422880583453,0.036137750926154975,21,2,0.1,"[""StrPur""]",2,100.0,2
MacJuv,0.83145697486295,0.2165410716345434,0.7347839097948463,0.12073723136827945,0.6021375546458478,21,3,0.1,"[""PycHel""]",2,100.0,2
MacPyr,1.6126667012060167,0.6796765870083582,0.8540076793459015,0.210159175962441,0.3382228488752342,21,3,0.1,"[""PycHel""]",2,100.0,2
MacJuv,1.099508927151667,0.2918453006849065,0.8499018239521822,0.1373273127958202,0.4569855597396395,21,4,0.1,"[""StrPur"", ""PycHel""]",2,100.0,2
MacPyr,3.3766012095580415,1.759905792456811,1.2465207032681334,0.3018929732439925,-0.2518751116305892,21,4,0.1,"[""StrPur"", ""PycHel""]",2,100.0,2
MacJuv,0.8284545116519089,0.2631833597853866,0.711076045229481,0.1270482919115228,0.661640038280138,21,1,0.05,String[],1,100.0,2
MacPyr,2.453831415747818,1.1787319698442391,1.104961231162721,0.24828331532497122,-0.031932751480107914,21,1,0.05,String[],1,100.0,2
MacJuv,0.794443597132308,0.21987955256386843,0.710758325404102,0.12026350236066319,0.5979227976614697,21,2,0.2,"[""StrPur""]",3,100.0,2
MacPyr,2.620141669473878,1.5149776985756718,1.0901957628884993,0.2675457781440254,-0.0580568657905861,21,2,0.2,"[""StrPur""]",3,100.0,2
MacJuv,0.8614542079788242,0.26505542092659545,0.7075925197180114,0.1343069309488419,0.5596694209597798,21,3,0.2,"[""PycHel""]",3,100.0,2
MacPyr,1.4609993418430354,0.5462614922465836,0.8868223842287545,0.18364985715674578,0.49205214404743,21,3,0.2,"[""PycHel""]",3,100.0,2
MacJuv,0.7380780319475102,0.22067593483975068,0.6539950149719076,0.12457298108727358,0.6312432493013335,21,4,0.2,"[""StrPur"", ""PycHel""]",3,100.0,2
MacPyr,1.9727642509479668,0.9767365724163245,0.9500137475068112,0.23132640689035386,0.10944415467434675,21,4,0.2,"[""StrPur"", ""PycHel""]",3,100.0,2
MacJuv,0.7266187193459611,0.22805378592713602,0.673635100079093,0.11679778921011123,0.6960456890647713,21,1,0.5,String[],4,100.0,2
MacPyr,2.0614050732499245,0.9865266306460772,1.0368368816246951,0.22207817926945256,0.2521801903024054,21,1,0.5,String[],4,100.0,2
MacJuv,0.7321581244822944,0.23178139629010105,0.6785223093225579,0.11656877803122878,0.6920452660474926,21,2,0.5,"[""StrPur""]",4,100.0,2
MacPyr,2.0847038065064574,0.9896350039813105,1.0457121388272737,0.22261962281161854,0.24510724743167545,21,2,0.5,"[""StrPur""]",4,100.0,2
MacJuv,0.7726377467328026,0.24426093622980286,0.700425582258316,0.11875221060066662,0.6526552376486237,21,3,0.5,"[""PycHel""]",4,100.0,2
MacPyr,1.8704911347987998,0.8601306372889707,0.9910386761104966,0.21075263666819855,0.32130931917044975,21,3,0.5,"[""PycHel""]",4,100.0,2
MacJuv,0.7642112261334904,0.24856198850667965,0.6765303391055455,0.12379780418150108,0.697705741267131,21,4,0.5,"[""StrPur"", ""PycHel""]",4,100.0,2
MacPyr,2.0559979328513167,0.9780676371086164,1.0171918883685485,0.22597771959736904,0.10628313531061262,21,4,0.5,"[""StrPur"", ""PycHel""]",4,100.0,2
MacJuv,0.8284545116519089,0.2631833597853866,0.711076045229481,0.1270482919115228,0.661640038280138,21,1,0.05,String[],1,100.0,2
MacPyr,2.453831415747818,1.1787319698442391,1.104961231162721,0.24828331532497122,-0.031932751480107914,21,1,0.05,String[],1,100.0,2
MacJuv,1.0932504813957995,0.31730222919105994,0.8043440517192062,0.14937890210128915,0.41485892657319345,21,2,0.05,"[""StrPur""]",1,500.0,3
MacPyr,1.6333943059315104,0.5997701120696933,0.9658681115441811,0.1871487506014384,0.3277464033688289,21,2,0.05,"[""StrPur""]",1,500.0,3
MacJuv,1.1899941478119302,0.3567954133167397,0.838602301165392,0.15600325770509396,0.23652682075662496,21,3,0.05,"[""PycHel""]",1,500.0,3
MacPyr,1.6596809050716375,0.6265379659801478,0.9682552944607083,0.1900213921931481,0.16937610618741233,21,3,0.05,"[""PycHel""]",1,500.0,3
MacJuv,1.1848426899945088,0.3693729007549754,0.8152545438395924,0.16127658211026905,0.2365019709557864,21,4,0.05,"[""StrPur"", ""PycHel""]",1,500.0,3
MacPyr,1.8055911554813577,0.6020227941808751,1.0206754185830667,0.19542426223241063,0.05543754791926542,21,4,0.05,"[""StrPur"", ""PycHel""]",1,500.0,3
