variable,MSE,MSE_SE,MAE,MAE_SE,correlation,count,covars,covars_ind,tau_,tau_ind,regularization,regularization_ind
MacJuv,0.7497005011559386,0.2271691989363306,0.709914854219548,0.11084254618926262,0.7579383652440292,21,String[],1,0.05,1,50.0,1
MacPyr,4.084820185844397,2.014211468508666,1.423868412195598,0.3207350098286734,-0.2289609825268658,21,String[],1,0.05,1,50.0,1
MacJuv,1.283701638984752,0.4131821743862023,0.8728872834944732,0.16151926035281222,0.5530361275199512,21,"[""StrPur""]",2,0.05,1,50.0,1
MacPyr,2.050343256180662,0.7437112413288125,1.134331565710392,0.1954015295761106,0.26208304280158484,21,"[""StrPur""]",2,0.05,1,50.0,1
MacJuv,1.044797862917304,0.3701150653132812,0.7953800533221553,0.14355633627509265,0.6854175073029534,21,"[""PycHel""]",3,0.05,1,50.0,1
MacPyr,3.9873614263623502,1.8493674935267137,1.4300018954930394,0.311645311632364,-0.43095603730326665,21,"[""PycHel""]",3,0.05,1,50.0,1
MacJuv,1.4073373899744182,0.43369914545082505,0.934952601565521,0.1632790590982633,0.5414424215435606,21,"[""StrPur"", ""PycHel""]",4,0.05,1,50.0,1
MacPyr,5.887779199538007,3.869145157336575,1.5338556815108961,0.4204203817510964,-0.2640459222704209,21,"[""StrPur"", ""PycHel""]",4,0.05,1,50.0,1
MacJuv,0.6169817107417851,0.21682567285162194,0.5938094496339017,0.11497218104116924,0.7880390541521424,21,String[],1,0.1,2,50.0,1
MacPyr,4.4425676499935784,2.238393155018855,1.3944360831387774,0.3534201225195138,-0.42448870176074127,21,String[],1,0.1,2,50.0,1
MacJuv,0.7235453665183958,0.2128468384221417,0.6766155774693402,0.11526854012353656,0.754443620237814,21,"[""StrPur""]",2,0.1,2,50.0,1
MacPyr,4.698955369441258,1.9984525877863406,1.5403597765758579,0.3410459740378438,-0.37370956149933343,21,"[""StrPur""]",2,0.1,2,50.0,1
MacJuv,0.7010674540188393,0.21216609298501854,0.6305432404657157,0.12318333408416783,0.7601818000404267,21,"[""PycHel""]",3,0.1,2,50.0,1
MacPyr,2.5957118615170796,0.8867918340789149,1.2713485445803143,0.22128993873542885,0.08155395035283959,21,"[""PycHel""]",3,0.1,2,50.0,1
MacJuv,0.8758315378298975,0.238380005675414,0.7598634818049846,0.12215543926676029,0.7084881855597883,21,"[""StrPur"", ""PycHel""]",4,0.1,2,50.0,1
MacPyr,3.2824377697732063,1.2310114558565857,1.3674649286229614,0.2657515229269067,-0.22999112700962634,21,"[""StrPur"", ""PycHel""]",4,0.1,2,50.0,1
MacJuv,0.5745911441553406,0.1857006722391526,0.5755874848689959,0.11029283553738294,0.8004076129603682,21,String[],1,0.2,3,50.0,1
MacPyr,4.237304380898341,2.2231128325965113,1.3716338653996347,0.34321457720988474,-0.5361023550641175,21,String[],1,0.2,3,50.0,1
MacJuv,0.7232407907904969,0.17617908270400445,0.715522746365397,0.10277840002262557,0.7359417728302788,21,"[""StrPur""]",2,0.2,3,50.0,1
MacPyr,5.5414139732086145,2.885602962818383,1.6136006557571148,0.3832562391500511,-0.5136767700728149,21,"[""StrPur""]",2,0.2,3,50.0,1
MacJuv,0.6876511598345347,0.1762561219450512,0.6797638519357432,0.10620081577747315,0.7512186422964251,21,"[""PycHel""]",3,0.2,3,50.0,1
MacPyr,5.167530436605112,3.0975727669820636,1.4516373348398626,0.3911700068195498,-0.5346626216773447,21,"[""PycHel""]",3,0.2,3,50.0,1
MacJuv,0.7703476057804327,0.1754522518089199,0.735129323421779,0.10722231195648377,0.7137411397339883,21,"[""StrPur"", ""PycHel""]",4,0.2,3,50.0,1
MacPyr,5.911390146003027,3.300861570301096,1.6713232087610095,0.3948461015294333,-0.38508423514819895,21,"[""StrPur"", ""PycHel""]",4,0.2,3,50.0,1
MacJuv,0.6774690694368289,0.16852904969739574,0.682165641726869,0.10298521900840873,0.7691974251433664,21,String[],1,0.5,4,50.0,1
MacPyr,2.1735337499872336,0.8999989229163917,1.0722685280255486,0.22624919378786273,0.3872420193782401,21,String[],1,0.5,4,50.0,1
MacJuv,0.7049792415631408,0.16780248295177685,0.7011532206070354,0.10328683430029283,0.757343626124484,21,"[""StrPur""]",2,0.5,4,50.0,1
MacPyr,2.2551164437417732,0.9199779014509332,1.1023966909651657,0.22801732165460883,0.3382665204336185,21,"[""StrPur""]",2,0.5,4,50.0,1
MacJuv,0.7001853346418208,0.18611105659821958,0.683175532777526,0.10804085478557733,0.7593173754630567,21,"[""PycHel""]",3,0.5,4,50.0,1
MacPyr,1.9186726652752857,0.7306196395854118,1.0209193262587777,0.2093318411693034,0.4440559027600397,21,"[""PycHel""]",3,0.5,4,50.0,1
MacJuv,0.7450475835062446,0.1883451739642741,0.7133848781405807,0.10865762723955312,0.74620569954095,21,"[""StrPur"", ""PycHel""]",4,0.5,4,50.0,1
MacPyr,2.1086410950082106,0.8147744080971713,1.0559816354155203,0.2228838128569876,0.26810244668077376,21,"[""StrPur"", ""PycHel""]",4,0.5,4,50.0,1
MacJuv,0.6593121148276413,0.17375056316649456,0.6534977956681265,0.10776194733869204,0.7888465002545667,21,String[],1,0.05,1,100.0,2
MacPyr,1.8977501878080374,0.7044210638724019,1.0460323999838412,0.20044530500763574,0.21775775413009854,21,String[],1,0.05,1,100.0,2
MacJuv,1.1494110222926166,0.3505611725566438,0.8438486723039166,0.1478733310207648,0.6316552038877085,21,"[""StrPur""]",2,0.05,1,100.0,2
MacPyr,2.7792943707116144,0.8653211111248008,1.3134749243088693,0.22957329917952402,0.03768921087893343,21,"[""StrPur""]",2,0.05,1,100.0,2
MacJuv,1.1391245916596047,0.34086583657904973,0.8512275247847862,0.1439681028402422,0.6141978447939658,21,"[""PycHel""]",3,0.05,1,100.0,2
MacPyr,2.1714367410038444,0.6194265078791357,1.1677392644226654,0.20097534069251585,0.13419459757441582,21,"[""PycHel""]",3,0.05,1,100.0,2
MacJuv,1.2055835033553577,0.3558536497793714,0.9054911047372504,0.13886492764500896,0.4720337677713393,21,"[""StrPur"", ""PycHel""]",4,0.05,1,100.0,2
MacPyr,2.5145356796504883,1.114673160594293,1.0967591535914818,0.25609129609026005,-0.1874211077559623,21,"[""StrPur"", ""PycHel""]",4,0.05,1,100.0,2
MacJuv,0.6286110547276907,0.18926178226370233,0.5941393098909347,0.1173902754000549,0.785565886623631,21,String[],1,0.1,2,100.0,2
MacPyr,2.2967005251179806,0.8992053193409805,1.1033700340830985,0.2323010001060522,0.0808416719401799,21,String[],1,0.1,2,100.0,2
MacJuv,0.6701003419171148,0.17708648358577928,0.6461239202116912,0.11238866082647991,0.77369001505045,21,"[""StrPur""]",2,0.1,2,100.0,2
MacPyr,3.0550792015646318,1.3684279960552221,1.261648194095177,0.27049242465372403,-0.28083463334452863,21,"[""StrPur""]",2,0.1,2,100.0,2
MacJuv,0.6767224777505284,0.20517373812325354,0.6219141450574477,0.12040458336956956,0.7662862565374488,21,"[""PycHel""]",3,0.1,2,100.0,2
MacPyr,1.963565940042213,0.6507827522611971,1.073062419324136,0.20150719395054414,0.2695474882292018,21,"[""PycHel""]",3,0.1,2,100.0,2
MacJuv,0.7203766123347547,0.20585558002280813,0.625627951747142,0.12825098017704004,0.7487380622452855,21,"[""StrPur"", ""PycHel""]",4,0.1,2,100.0,2
MacPyr,1.8730209852013853,0.5225020221443095,1.0819287984384591,0.1874101198322675,0.28563901196195635,21,"[""StrPur"", ""PycHel""]",4,0.1,2,100.0,2
MacJuv,0.5872344690007635,0.16261435345445377,0.5894699475052448,0.10948964562663618,0.7887851900072204,21,String[],1,0.2,3,100.0,2
MacPyr,2.579156049625792,1.0777530075795907,1.1622245459266272,0.24782959412380895,-0.03928086547696225,21,String[],1,0.2,3,100.0,2
MacJuv,0.6107254538658724,0.16670629226737535,0.6162572454866464,0.10745986721820472,0.782691527347194,21,"[""StrPur""]",2,0.2,3,100.0,2
MacPyr,2.9522516251178095,1.2097543330468334,1.2697865093549432,0.258833329169371,-0.18821783166476377,21,"[""StrPur""]",2,0.2,3,100.0,2
MacJuv,0.7905320649514136,0.20285060598346727,0.7332195117795124,0.11245470476979323,0.7056855186336518,21,"[""PycHel""]",3,0.2,3,100.0,2
MacPyr,2.6716117380218285,0.8838146534121746,1.2562303608368839,0.23382654025296834,-0.2097239674286534,21,"[""PycHel""]",3,0.2,3,100.0,2
MacJuv,0.6145016884909544,0.15412612194559552,0.6424441045316406,0.1004408435457143,0.779923445441659,21,"[""StrPur"", ""PycHel""]",4,0.2,3,100.0,2
MacPyr,3.2282236548368113,1.3222646864405063,1.3281809689561963,0.2705696738863569,-0.47081528026046915,21,"[""StrPur"", ""PycHel""]",4,0.2,3,100.0,2
MacJuv,0.7450017539404946,0.1812159782543671,0.7210644781229535,0.1060819900665913,0.7566106857468002,21,String[],1,0.5,4,100.0,2
MacPyr,2.3746947869466037,1.051270712487226,1.0992931974790405,0.24147973547721457,0.16516662872442633,21,String[],1,0.5,4,100.0,2
MacJuv,0.752114507407026,0.17966179370566537,0.7274779930478742,0.10556757954932545,0.7539279034581214,21,"[""StrPur""]",2,0.5,4,100.0,2
MacPyr,2.391387007885023,1.0467434784548357,1.1104445487843233,0.24065534608233866,0.1429206925004086,21,"[""StrPur""]",2,0.5,4,100.0,2
MacJuv,0.7586907464243596,0.1847098987944912,0.7286571207315284,0.10671212368601758,0.7486573661320483,21,"[""PycHel""]",3,0.5,4,100.0,2
MacPyr,2.359683492950943,1.0375596346422873,1.097105884108781,0.24042069087381315,0.16364896700833975,21,"[""PycHel""]",3,0.5,4,100.0,2
MacJuv,0.9259873014026923,0.23364666135610807,0.7917924435711863,0.12228082999928128,0.7146409829531517,21,"[""StrPur"", ""PycHel""]",4,0.5,4,100.0,2
MacPyr,2.6307702889444937,1.1517318022409209,1.1816239273662534,0.24844870529145896,-0.14024033851271342,21,"[""StrPur"", ""PycHel""]",4,0.5,4,100.0,2
MacJuv,0.7255699735700022,0.1662879256790625,0.7232439100230449,0.10062013222625474,0.7463759278396792,21,String[],1,0.05,1,500.0,3
MacPyr,3.7682253948307736,1.4724013354807273,1.4349979829849022,0.2923188484908248,-0.4066089914943378,21,String[],1,0.05,1,500.0,3
MacJuv,0.9609977095791303,0.28234151696876875,0.7669101819738773,0.1365368965452059,0.646687306046976,21,"[""StrPur""]",2,0.05,1,500.0,3
MacPyr,3.16207540800366,1.2648247730594149,1.2998153418193104,0.27134438313468073,-0.3613153033281664,21,"[""StrPur""]",2,0.05,1,500.0,3
MacJuv,0.6618489070802599,0.16353672772182465,0.6732768640431946,0.10211443860307452,0.7758531952077495,21,"[""PycHel""]",3,0.05,1,500.0,3
MacPyr,4.423623913260016,1.6370176765248587,1.566255434851814,0.31388435976145496,-0.5454971496795732,21,"[""PycHel""]",3,0.05,1,500.0,3
MacJuv,1.4958214192586705,0.4312383657821628,0.9653170926316511,0.16792622337381483,0.28195619979159925,21,"[""StrPur"", ""PycHel""]",4,0.05,1,500.0,3
MacPyr,2.0169777677239913,0.7213525468415244,0.9966549487005099,0.22623623504588908,-0.004632995550351189,21,"[""StrPur"", ""PycHel""]",4,0.05,1,500.0,3
MacJuv,0.6438368283500483,0.17362646280539476,0.6525629432963955,0.10440268995250881,0.7706278105705723,21,String[],1,0.1,2,500.0,3
MacPyr,3.328104925623305,1.5547388407707443,1.2777904595042382,0.29114914281371773,-0.4953014914832572,21,String[],1,0.1,2,500.0,3
MacJuv,0.6462587177150994,0.17181397205954588,0.6596364023272069,0.10274690614318235,0.7695908221479265,21,"[""StrPur""]",2,0.1,2,500.0,3
