series,time,juv,adult
1,52,-27.923057530068405,-56.32251666691225
1,53,-26.553445258470997,-53.674871836689
1,54,-25.183833039026766,-51.0272271294809
1,55,-23.814220928838346,-48.37958267997722
1,57,-21.074997645710358,-43.08429599167296
1,60,-16.966175071740942,-35.141395090161
1,61,-15.59658042528718,-32.49379182950547
1,63,-12.8574704211646,-27.198772267132256
1,64,-11.48802079162677,-24.55151084428329
1,65,-10.118749745219334,-21.90466998481359
1,67,-7.381747579406133,-16.614606372133768
1,68,-6.015265521871439,-13.974329622615572
1,69,-4.651207523604168,-11.340472961057731
1,70,-3.2696830980944322,-8.683683595379877
1,71,-1.3475809539910215,-5.168030225435557
1,72,1.6319537753418394,0.10988211300216102
1,73,2.365743174106781,2.6930088321685237
1,74,1.7423884760571844,2.7585114751801787
1,75,0.34497150084838357,1.421121963476457
1,76,-1.090887461553349,-1.0081583257165418
